Month,Reported by,Falls within,Easting,Northing,Location,Crime type,Context
2011-02,West Midlands Police,West Midlands Police,411805.0,282246.0,On or near Shirley Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,393478.0,302074.0,On or near Pope Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,415441.0,280541.0,On or near Hermitage Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,409807.0,288455.0,On or near Hutton Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,400742.0,300399.0,On or near Carl Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,412347.0,297219.0,On or near Bromwich Drive,Other crime,
2011-02,West Midlands Police,West Midlands Police,417751.0,286298.0,On or near Beech Avenue,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,432329.0,280690.0,On or near Holland Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,438452.0,281339.0,On or near Turlands Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,431122.0,280086.0,On or near Bevington Crescent,Burglary,
2011-02,West Midlands Police,West Midlands Police,400212.0,290949.0,On or near Moor Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,409162.0,291012.0,On or near Muscovy Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,409162.0,291012.0,On or near Muscovy Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,409162.0,291012.0,On or near Muscovy Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,417190.0,286556.0,On or near Chester Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,405400.0,287701.0,On or near Camden Street,Robbery,
2011-02,West Midlands Police,West Midlands Police,404534.0,288579.0,On or near Beaumont Gardens,Robbery,
2011-02,West Midlands Police,West Midlands Police,409309.0,284608.0,On or near Osborn Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,405782.0,288390.0,On or near Heaton Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,403550.0,284530.0,On or near High Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,408094.0,279225.0,On or near Quarrington Grove,Other crime,
2011-02,West Midlands Police,West Midlands Police,398728.0,293313.0,On or near Harvills Hawthorn,Burglary,
2011-02,West Midlands Police,West Midlands Police,408272.0,284302.0,On or near Brunswick Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,390671.0,289840.0,On or near Tansey Green Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,401202.0,301114.0,On or near Oakland Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,409365.0,284824.0,On or near Fallows Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,404890.0,283048.0,On or near Alton Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,401686.0,299506.0,On or near Mill Lane,Burglary,
2011-02,West Midlands Police,West Midlands Police,409196.0,285572.0,On or near Vann Close,Violent crime,
2011-02,West Midlands Police,West Midlands Police,413469.0,297218.0,On or near Whitehouse Common Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,390230.0,298594.0,On or near Hartley Street,Robbery,
2011-02,West Midlands Police,West Midlands Police,398290.0,289989.0,On or near Waterways Drive,Other crime,
2011-02,West Midlands Police,West Midlands Police,388926.0,285692.0,On or near Cornwall Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,411907.0,287437.0,On or near Caldwell Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,408591.0,278953.0,On or near Highters Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,406745.0,286662.0,On or near Navigation Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,401109.0,299004.0,On or near Stafford Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,433932.0,282873.0,On or near Compton Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,437051.0,276506.0,On or near Ridgethorpe,Violent crime,
2011-02,West Midlands Police,West Midlands Police,401709.0,288299.0,On or near Little Moor Hill,Other crime,
2011-02,West Midlands Police,West Midlands Police,410963.0,281945.0,On or near Larchmere Drive,Burglary,
2011-02,West Midlands Police,West Midlands Police,397653.0,297333.0,On or near Horton Close,Burglary,
2011-02,West Midlands Police,West Midlands Police,403998.0,277335.0,On or near Meer End,Other crime,
2011-02,West Midlands Police,West Midlands Police,394754.0,288914.0,On or near Abbey Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,435482.0,281319.0,On or near Nuffield Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,433395.0,279153.0,On or near Cross Cheaping,Other crime,
2011-02,West Midlands Police,West Midlands Police,415401.0,285048.0,On or near Chaffcombe Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,412053.0,286764.0,On or near Dassett Grove,Other crime,
2011-02,West Midlands Police,West Midlands Police,403003.0,282989.0,On or near Nately Grove,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,409220.0,291846.0,On or near Marsh Hill,Violent crime,
2011-02,West Midlands Police,West Midlands Police,410940.0,285313.0,On or near Ravensdale Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,391228.0,297021.0,On or near Cross St. South,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,391382.0,298679.0,On or near Queen Square,Other crime,
2011-02,West Midlands Police,West Midlands Police,410085.0,286922.0,On or near Cherrywood Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,404580.0,293374.0,On or near Spouthouse Lane,Other crime,
2011-02,West Midlands Police,West Midlands Police,410480.0,292476.0,On or near Bromford Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,433730.0,277559.0,On or near Lichfield Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,431703.0,280135.0,On or near Rose Avenue,Violent crime,
2011-02,West Midlands Police,West Midlands Police,433730.0,277559.0,On or near Lichfield Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,402018.0,302449.0,On or near Marlpool Drive,Burglary,
2011-02,West Midlands Police,West Midlands Police,406238.0,290285.0,On or near Stamford Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,434668.0,280986.0,On or near Awson Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,414427.0,296102.0,On or near Stone Avenue,Other crime,
2011-02,West Midlands Police,West Midlands Police,413594.0,293649.0,On or near Crawford Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,416736.0,286949.0,On or near Grandys Croft,Other crime,
2011-02,West Midlands Police,West Midlands Police,399559.0,284743.0,On or near Stoney Lane,Other crime,
2011-02,West Midlands Police,West Midlands Police,406449.0,288353.0,On or near Mosborough Crescent,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,404337.0,293891.0,On or near Gorstie Croft,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,402594.0,279423.0,On or near Rectory Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,400540.0,282307.0,On or near Jiggins Lane,Burglary,
2011-02,West Midlands Police,West Midlands Police,408672.0,288265.0,On or near Newbold Croft,Other crime,
2011-02,West Midlands Police,West Midlands Police,390052.0,297587.0,On or near Jeffcock Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,404212.0,289458.0,On or near Babington Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,411089.0,293246.0,On or near Cherry Lane,Other crime,
2011-02,West Midlands Police,West Midlands Police,415916.0,287068.0,On or near East Meadway,Other crime,
2011-02,West Midlands Police,West Midlands Police,407985.0,280920.0,On or near Hollie Lucas Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,412993.0,285226.0,On or near Harvey Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,389891.0,283753.0,On or near Baylie Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,396758.0,292157.0,On or near Ryland Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,407968.0,287497.0,On or near Jennens Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,435125.0,279340.0,On or near Villiers Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,433328.0,280324.0,On or near Dorset Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,399766.0,298710.0,On or near York Avenue,Other crime,
2011-02,West Midlands Police,West Midlands Police,401783.0,287577.0,On or near Thompson Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,389891.0,283753.0,On or near Baylie Street,Violent crime,
2011-02,West Midlands Police,West Midlands Police,400851.0,303263.0,On or near Grenfell Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,411509.0,284127.0,On or near Wharfdale Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,391322.0,287114.0,On or near Lindsey Place,Violent crime,
